Item_Identifier,Item_Weight,Item_Type,Item_MRP,Outlet_Identifier,Item_Visibility_sqrt,Item_Outlet_Sales_sqrt,Age_Outlet,Item_Fat_Content_Encoding,Item_Category_Food,Item_Category_Non-Consumable,Outlet_Category_Moderate Outlet,Outlet_Category_Old Outlet,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDC37,15.5,Baking Goods,107.6938,OUT019,0.239910396,14.64198074,39,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDR28,13.85,Frozen Foods,165.021,OUT046,0.160923848,63.85941591,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NCD06,13,Household,45.906,OUT017,0.31604921,28.96390858,17,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDV10,7.645,Snack Foods,42.3112,OUT035,0.258250725,32.63862742,20,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRJ59,11.65,Hard Drinks,39.1164,OUT013,0.139126317,17.57643877,37,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDE51,5.925,Dairy,45.5086,OUT010,0.401828986,13.35793397,26,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FDC14,14.5,Canned,43.6454,OUT019,0.268741141,11.21767356,39,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDV38,19.25,Dairy,55.7956,OUT010,0.412733026,12.79792171,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NCS17,18.6,Health and Hygiene,96.4436,OUT018,0.284305069,52.36186017,15,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDP33,18.7,Snack Foods,256.6672,OUT018,0,55.38958747,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDO23,17.85,Breads,93.1436,OUT045,0,46.63156442,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRH01,17.5,Soft Drinks,174.8738,OUT046,0.312896195,45.66492746,27,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NCX29,10,Health and Hygiene,146.7102,OUT049,0.298816226,61.57162658,25,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDV20,20.2,Fruits and Vegetables,128.0678,OUT027,0.243950429,52.89320939,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
DRZ11,8.85,Soft Drinks,122.5388,OUT018,0.336338956,40.12361399,15,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDX10,6.385,Snack Foods,36.9874,OUT027,0.350872417,19.7018121,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDB34,15.25,Snack Foods,87.6198,OUT027,0.162729696,46.69577069,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDU02,13.35,Dairy,230.6352,OUT046,0.320174178,58.61337731,27,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDK43,9.8,Meat,126.002,OUT013,0.163763335,46.37385039,37,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDA46,13.6,Snack Foods,192.9136,OUT049,0.343246774,50.27302259,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDC02,21.35,Canned,259.9278,OUT018,0.262874173,82.27103257,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDL50,12.15,Canned,126.5046,OUT013,0.205615824,19.32650512,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDM39,6.42,Dairy,178.1002,OUT010,0.299163711,18.92618292,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NCP05,19.6,Health and Hygiene,153.3024,OUT045,0,49.28324665,22,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDV49,10,Canned,265.2226,OUT045,0.160871306,76.25678462,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDL12,15.85,Baking Goods,60.622,OUT046,0.348758829,50.76067375,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDS02,10.195,Dairy,196.8794,OUT019,0.505366101,27.93416546,39,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NCL17,7.39,Health and Hygiene,143.8812,OUT046,0.260345371,55.98737715,27,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDM40,10.195,Frozen Foods,141.5154,OUT013,0.399754741,29.17005999,37,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDR13,9.895,Canned,117.0492,OUT013,0.169401688,28.47708553,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDA43,10.895,Fruits and Vegetables,196.3794,OUT017,0.25503251,55.86833092,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCP18,12.15,Household,151.4708,OUT017,0.169587774,69.39067372,17,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDK21,7.905,Snack Foods,249.0408,OUT018,0.100265173,79.11080836,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
NCX54,9.195,Household,106.1622,OUT045,0.219447802,46.01351975,22,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRK35,8.365,Hard Drinks,38.0506,OUT049,0.268250251,28.23052603,25,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDY21,15.1,Snack Foods,194.511,OUT046,0.416510869,70.07335442,27,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDI26,5.94,Canned,180.0344,OUT019,0.247148087,29.8692484,39,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDM20,10,Fruits and Vegetables,246.9144,OUT018,0,56.43746274,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDV27,7.97,Meat,87.3514,OUT045,0.200177749,32.59780361,22,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDF09,6.215,Fruits and Vegetables,38.2848,OUT027,0.109954873,22.01595785,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDY40,15.5,Frozen Foods,51.0692,OUT019,0.38766737,12.1576149,39,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDY45,17.5,Snack Foods,255.8356,OUT027,0.16129327,50.43169638,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDC46,17.7,Snack Foods,185.4266,OUT010,0.441665287,13.58037555,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FDH19,19.35,Meat,172.5738,OUT035,0.18188517,69.7543289,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDZ03,13.65,Dairy,186.024,OUT045,0.280974118,33.44464083,22,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRH37,17.6,Soft Drinks,164.8526,OUT045,0.20420763,47.9826677,22,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCI17,8.645,Health and Hygiene,95.841,OUT046,0.378711821,45.02622569,27,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDJ58,15.6,Snack Foods,170.1764,OUT046,0.324493562,58.61337731,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDL12,15.85,Baking Goods,59.222,OUT013,0.348613684,24.47897057,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDH35,18.25,Starchy Foods,164.7526,OUT045,0,67.85773943,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDG02,7.855,Canned,189.6188,OUT017,0.106418335,47.80194138,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCZ18,7.825,Household,254.3698,OUT049,0.431691033,74.70432116,25,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDC29,8.39,Frozen Foods,114.0176,OUT046,0.155581686,47.85762217,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDQ10,12.85,Snack Foods,172.3422,OUT049,0.182293214,34.74327849,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDN48,13.35,Baking Goods,89.9804,OUT019,0.337224471,25.36065457,39,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDL04,19,Frozen Foods,104.9622,OUT017,0.335494422,39.84887702,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDV25,5.905,Canned,222.5456,OUT045,0,72.83607897,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDD58,7.76,Snack Foods,101.87,OUT046,0.243623154,41.20424735,27,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDN04,11.8,Frozen Foods,180.3344,OUT046,0.118688908,37.78194278,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDV45,16.75,Snack Foods,187.9556,OUT018,0.212675678,68.51196976,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
NCL18,18.85,Household,194.6136,OUT019,0.541680495,24.15037888,39,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDR12,12.6,Baking Goods,171.3764,OUT027,0.177149778,55.6055321,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDG20,15.5,Fruits and Vegetables,177.0028,OUT017,0.355526173,49.79396751,17,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDZ55,6.055,Fruits and Vegetables,160.992,OUT035,0.159386003,52.11970836,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDQ49,20.2,Breakfast,155.963,OUT027,0.197630152,57.32122643,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDN33,6.305,Snack Foods,95.6436,OUT046,0.35087856,25.72557482,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDN27,20.85,Meat,117.2808,OUT049,0.199057796,39.0301217,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDW20,20.75,Fruits and Vegetables,122.173,OUT010,0.201050225,19.222877,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DRG27,8.895,Dairy,39.9138,OUT049,0.324459722,26.27612224,25,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DRI25,19.6,Soft Drinks,55.1614,OUT045,0.184310051,37.16900591,22,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDA44,19.7,Fruits and Vegetables,57.893,OUT035,0.230678677,24.95041082,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCR17,9.8,Health and Hygiene,114.5492,OUT035,0.156136818,35.69791591,20,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDU04,7.93,Frozen Foods,120.0414,OUT019,0.098562645,22.0763584,39,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDF41,12.15,Frozen Foods,246.046,OUT049,0.362468981,35.09601117,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDB56,8.75,Fruits and Vegetables,187.4556,OUT035,0.273153968,61.27896866,20,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCP18,12.15,Household,149.9708,OUT027,0.16870021,66.05795334,39,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDB56,8.75,Fruits and Vegetables,187.8556,OUT046,0.273179796,36.25312676,27,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDT28,13.3,Frozen Foods,151.0708,OUT045,0.25237885,42.49293588,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDD10,20.6,Snack Foods,178.5344,OUT027,0.214004273,53.43173589,39,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDW57,8.31,Snack Foods,179.1028,OUT049,0.340378059,62.42004165,25,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DRB48,16.75,Soft Drinks,38.7822,OUT013,0.157584282,25.84177625,37,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDP09,19.75,Snack Foods,212.0902,OUT018,0.184466553,56.44336099,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
FDH14,17.1,Canned,141.1838,OUT013,0.216262803,47.41034486,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDA47,10.5,Baking Goods,163.121,OUT013,0.341433305,42.35954438,37,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDG12,6.635,Baking Goods,121.3098,OUT045,0,50.3061209,22,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRE60,9.395,Soft Drinks,225.372,OUT019,0.528179965,26.05985418,39,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DRK49,14.15,Soft Drinks,41.4138,OUT013,0.18950938,28.50045614,37,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
FDD03,13.3,Dairy,232.53,OUT046,0.282500028,26.44031013,27,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDS52,8.89,Frozen Foods,102.4016,OUT017,0.074198929,52.27277685,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDW39,6.69,Meat,176.937,OUT019,0.254215149,13.28295901,39,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FDX34,6.195,Snack Foods,121.7098,OUT027,0.267650774,64.01041478,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDV11,9.1,Breads,173.2054,OUT045,0,56.14175986,22,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDD17,7.5,Frozen Foods,239.0906,OUT049,0.180769682,77.08608824,25,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FDZ16,16.85,Frozen Foods,192.4478,OUT017,0.400948942,69.5966594,17,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDZ46,7.485,Snack Foods,109.0228,OUT035,0.262889045,50.41849264,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRA12,11.6,Soft Drinks,140.3154,OUT017,0.202922411,50.52402597,17,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDY58,11.65,Snack Foods,227.0694,OUT018,0.20020288,33.79122667,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
NCF19,13,Household,47.5034,OUT017,0.187902427,26.08539055,17,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRJ13,12.65,Soft Drinks,159.0578,OUT045,0.251033558,45.67221694,22,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDB14,20.25,Canned,92.512,OUT010,0.414655014,13.65371744,26,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FDJ38,8.6,Canned,190.153,OUT035,0.200494219,55.10034483,20,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDW11,12.6,Breads,62.7194,OUT017,0.221490438,29.4426833,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDL40,17.7,Frozen Foods,95.041,OUT035,0.107754165,29.47658393,20,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRI49,14.15,Soft Drinks,82.4276,OUT046,0.428377515,33.72219447,27,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDV38,19.25,Dairy,52.7956,OUT017,0.319921114,30.4651473,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DRG23,8.88,Hard Drinks,151.7682,OUT013,0.294463898,27.61052336,37,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
NCP30,20.5,Household,40.2822,OUT045,0.18120471,26.59096839,22,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDY25,12,Canned,180.5976,OUT027,0.183874721,89.26530345,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
NCH54,13.5,Household,160.292,OUT046,0.269572105,37.92265813,27,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NCR53,12.15,Health and Hygiene,224.4404,OUT027,0.379919061,83.52396303,39,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDS52,8.89,Frozen Foods,101.7016,OUT010,0.095724689,10.0599006,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
FDG02,7.855,Canned,188.5188,OUT018,0.106334557,30.85602048,15,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
NCO26,7.235,Household,116.0492,OUT046,0.277228476,44.37833255,27,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FDH35,18.25,Starchy Foods,165.4526,OUT027,0.244860932,72.54297485,39,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FDB51,6.92,Dairy,60.5852,OUT045,0.196295853,36.25312676,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FDX44,9.3,Fruits and Vegetables,90.8172,OUT017,0.207869144,23.13662032,17,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NCN07,18.5,Others,132.1284,OUT010,0.238362046,16.23751212,26,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
