,ID_store,Type,Weight_grams,Visibility_sqrt,Sales_sqrt,Store_Age,Minimal_Retail_Price,Fat_Content_Encoding
60,OUT018,Fruits and Vegetables,10.0,0.0,56.43746274,15.0,246.9144,0.0
61,OUT045,Meat,7.97,0.200177749,32.59780361,22.0,87.3514,1.0
62,OUT027,Fruits and Vegetables,6.215,0.109954873,22.01595785,39.0,38.2848,0.0
63,OUT019,Frozen Foods,15.5,0.38766737,12.1576149,39.0,51.0692,1.0
64,OUT027,Snack Foods,17.5,0.16129327,50.43169638,39.0,255.8356,0.0
65,OUT010,Snack Foods,17.7,0.441665287,13.58037555,26.0,185.4266,0.0
66,OUT035,Meat,19.35,0.18188517,69.7543289,20.0,172.5738,0.0
67,OUT045,Dairy,13.65,0.280974118,33.44464083,22.0,186.024,1.0
68,OUT045,Soft Drinks,17.6,0.20420763,47.9826677,22.0,164.8526,0.0
69,OUT046,Health and Hygiene,8.645,0.378711821,45.02622569,27.0,95.841,0.0
70,OUT046,Snack Foods,15.6,0.324493562,58.61337731,27.0,170.1764,1.0
71,OUT013,Baking Goods,15.85,0.348613684,24.47897057,37.0,59.222,1.0
72,OUT045,Starchy Foods,18.25,0.0,67.85773943,22.0,164.7526,0.0
73,OUT017,Canned,7.855,0.106418335,47.80194138,17.0,189.6188,0.0
74,OUT049,Household,7.825,0.431691033,74.70432116,25.0,254.3698,0.0
75,OUT046,Frozen Foods,8.39,0.155581686,47.85762217,27.0,114.0176,1.0
76,OUT049,Snack Foods,12.85,0.182293214,34.74327849,25.0,172.3422,0.0
77,OUT019,Baking Goods,13.35,0.337224471,25.36065457,39.0,89.9804,0.0
78,OUT017,Frozen Foods,19.0,0.335494422,39.84887702,17.0,104.9622,0.0
79,OUT045,Canned,5.905,0.0,72.83607897,22.0,222.5456,0.0
80,OUT046,Snack Foods,7.76,0.243623154,41.20424735,27.0,101.87,0.0
81,OUT046,Frozen Foods,11.8,0.118688908,37.78194278,27.0,180.3344,1.0
82,OUT018,Snack Foods,16.75,0.212675678,68.51196976,15.0,187.9556,0.0
83,OUT019,Household,18.85,0.541680495,24.15037888,39.0,194.6136,0.0
84,OUT027,Baking Goods,12.6,0.177149778,55.6055321,39.0,171.3764,1.0
85,OUT017,Fruits and Vegetables,15.5,0.355526173,49.79396751,17.0,177.0028,1.0
86,OUT035,Fruits and Vegetables,6.055,0.159386003,52.11970836,20.0,160.992,0.0
87,OUT027,Breakfast,20.2,0.197630152,57.32122643,39.0,155.963,1.0
88,OUT046,Snack Foods,6.305,0.35087856,25.72557482,27.0,95.6436,1.0
89,OUT049,Meat,20.85,0.199057796,39.0301217,25.0,117.2808,0.0
90,OUT010,Fruits and Vegetables,20.75,0.201050225,19.222877,26.0,122.173,0.0
91,OUT049,Dairy,8.895,0.324459722,26.27612224,25.0,39.9138,0.0
92,OUT045,Soft Drinks,19.6,0.184310051,37.16900591,22.0,55.1614,0.0
93,OUT035,Fruits and Vegetables,19.7,0.230678677,24.95041082,20.0,57.893,0.0
94,OUT035,Health and Hygiene,9.8,0.156136818,35.69791591,20.0,114.5492,0.0
95,OUT019,Frozen Foods,7.93,0.098562645,22.0763584,39.0,120.0414,0.0
96,OUT049,Frozen Foods,12.15,0.362468981,35.09601117,25.0,246.046,0.0
97,OUT035,Fruits and Vegetables,8.75,0.273153968,61.27896866,20.0,187.4556,1.0
98,OUT027,Household,12.15,0.16870021,66.05795334,39.0,149.9708,0.0
99,OUT046,Fruits and Vegetables,8.75,0.273179796,36.25312676,27.0,187.8556,1.0
100,OUT045,Frozen Foods,13.3,0.25237885,42.49293588,22.0,151.0708,0.0
101,OUT027,Snack Foods,20.6,0.214004273,53.43173589,39.0,178.5344,1.0
102,OUT049,Snack Foods,8.31,0.340378059,62.42004165,25.0,179.1028,1.0
103,OUT013,Soft Drinks,16.75,0.157584282,25.84177625,37.0,38.7822,1.0
104,OUT018,Snack Foods,19.75,0.184466553,56.44336099,15.0,212.0902,0.0
105,OUT013,Canned,17.1,0.216262803,47.41034486,37.0,141.1838,1.0
106,OUT013,Baking Goods,10.5,0.341433305,42.35954438,37.0,163.121,1.0
107,OUT045,Baking Goods,6.635,0.0,50.3061209,22.0,121.3098,1.0
108,OUT019,Soft Drinks,9.395,0.528179965,26.05985418,39.0,225.372,0.0
109,OUT013,Soft Drinks,14.15,0.18950938,28.50045614,37.0,41.4138,0.0
110,OUT046,Dairy,13.3,0.282500028,26.44031013,27.0,232.53,0.0
111,OUT017,Frozen Foods,8.89,0.074198929,52.27277685,17.0,102.4016,0.0
112,OUT019,Meat,6.69,0.254215149,13.28295901,39.0,176.937,1.0
113,OUT027,Snack Foods,6.195,0.267650774,64.01041478,39.0,121.7098,0.0
114,OUT045,Breads,9.1,0.0,56.14175986,22.0,173.2054,1.0
115,OUT049,Frozen Foods,7.5,0.180769682,77.08608824,25.0,239.0906,0.0
116,OUT017,Frozen Foods,16.85,0.400948942,69.5966594,17.0,192.4478,1.0
117,OUT035,Snack Foods,7.485,0.262889045,50.41849264,20.0,109.0228,0.0
118,OUT017,Soft Drinks,11.6,0.202922411,50.52402597,17.0,140.3154,0.0
119,OUT018,Snack Foods,11.65,0.20020288,33.79122667,15.0,227.0694,0.0
120,OUT017,Household,13.0,0.187902427,26.08539055,17.0,47.5034,0.0
121,OUT045,Soft Drinks,12.65,0.251033558,45.67221694,22.0,159.0578,0.0
122,OUT010,Canned,20.25,0.414655014,13.65371744,26.0,92.512,1.0
123,OUT035,Canned,8.6,0.200494219,55.10034483,20.0,190.153,1.0
124,OUT017,Breads,12.6,0.221490438,29.4426833,17.0,62.7194,0.0
125,OUT035,Frozen Foods,17.7,0.107754165,29.47658393,20.0,95.041,0.0
126,OUT046,Soft Drinks,14.15,0.428377515,33.72219447,27.0,82.4276,0.0
127,OUT017,Dairy,19.25,0.319921114,30.4651473,17.0,52.7956,0.0
128,OUT013,Hard Drinks,8.88,0.294463898,27.61052336,37.0,151.7682,0.0
129,OUT045,Household,20.5,0.18120471,26.59096839,22.0,40.2822,0.0
130,OUT027,Canned,12.0,0.183874721,89.26530345,39.0,180.5976,0.0
131,OUT046,Household,13.5,0.269572105,37.92265813,27.0,160.292,0.0
132,OUT027,Health and Hygiene,12.15,0.379919061,83.52396303,39.0,224.4404,0.0
133,OUT010,Frozen Foods,8.89,0.095724689,10.0599006,26.0,101.7016,0.0
134,OUT018,Canned,7.855,0.106334557,30.85602048,15.0,188.5188,0.0
135,OUT046,Household,7.235,0.277228476,44.37833255,27.0,116.0492,0.0
136,OUT027,Starchy Foods,18.25,0.244860932,72.54297485,39.0,165.4526,0.0
137,OUT045,Dairy,6.92,0.196295853,36.25312676,22.0,60.5852,0.0
138,OUT017,Fruits and Vegetables,9.3,0.207869144,23.13662032,17.0,90.8172,0.0
139,OUT010,Others,18.5,0.238362046,16.23751212,26.0,132.1284,0.0
140,OUT035,Household,8.02,0.140949299,37.44562458,20.0,154.5972,0.0
141,OUT017,Household,9.195,0.219844757,41.15574322,17.0,105.1622,0.0
142,OUT045,Others,12.8,0.30202956,46.3020086,22.0,105.5938,0.0
143,OUT049,Household,16.6,0.166198905,51.73505581,25.0,177.6344,0.0
144,OUT035,Frozen Foods,14.0,0.0,30.09132765,20.0,53.064,1.0
145,OUT049,Frozen Foods,18.6,0.198383333,85.85106872,25.0,246.3802,0.0
146,OUT035,Starchy Foods,16.0,0.246650611,79.3796649,20.0,226.8404,0.0
147,OUT035,Health and Hygiene,17.6,0.286908532,39.97399154,20.0,160.692,0.0
148,OUT035,Snack Foods,21.25,0.394145023,23.00675988,20.0,178.237,0.0
149,OUT035,Household,7.235,0.277202264,44.37833255,20.0,117.5492,0.0
150,OUT017,Soft Drinks,14.6,0.389126181,32.16602555,17.0,50.3692,0.0
151,OUT018,Frozen Foods,13.85,0.161251282,42.35954438,15.0,161.521,1.0
152,OUT018,Frozen Foods,13.65,0.270572443,52.61555283,15.0,197.6426,1.0
153,OUT027,Soft Drinks,9.5,0.204165328,29.98049366,39.0,31.29,0.0
154,OUT046,Fruits and Vegetables,7.365,0.206301362,56.2957192,27.0,226.172,0.0
155,OUT018,Household,18.35,0.118664047,59.91655531,15.0,223.5746,0.0
156,OUT018,Baking Goods,5.465,0.0,16.1964564,15.0,132.5626,1.0
157,OUT017,Breakfast,18.6,0.391047803,43.70560834,17.0,99.8358,0.0
158,OUT017,Soft Drinks,13.85,0.175980891,41.25269446,17.0,140.9154,0.0
159,OUT013,Frozen Foods,14.0,0.245716861,49.71367619,37.0,154.5656,1.0
160,OUT013,Snack Foods,14.0,0.204750702,36.4910948,37.0,54.764,1.0
161,OUT027,Fruits and Vegetables,21.35,0.278150015,42.53208906,39.0,97.0094,0.0
162,OUT018,Canned,5.905,0.214098601,57.58197635,15.0,222.5456,0.0
163,OUT046,Soft Drinks,7.27,0.266604462,51.17217408,27.0,114.2518,0.0
164,OUT046,Meat,6.155,0.307668443,52.62820537,27.0,214.556,1.0
165,OUT017,Soft Drinks,19.5,0.278583628,73.31441468,17.0,233.4958,1.0
166,OUT017,Canned,15.2,0.1460393,53.28199696,17.0,216.8824,0.0
167,OUT018,Canned,12.15,0.206119975,41.75002275,15.0,125.0046,1.0
168,OUT027,Household,14.6,0.15993288,74.53479188,39.0,198.8084,0.0
169,OUT018,Breads,12.6,0.221316064,24.88360906,15.0,61.9194,0.0
170,OUT035,Others,14.5,0.13954099,46.04967969,20.0,164.821,0.0
171,OUT017,Fruits and Vegetables,16.6,0.350597849,61.83060407,17.0,173.0738,0.0
172,OUT013,Meat,11.8,0.23952828,36.88128794,37.0,151.4366,1.0
173,OUT013,Fruits and Vegetables,13.1,0.210132332,63.00396495,37.0,178.8318,1.0
174,OUT010,Fruits and Vegetables,17.7,0.540245687,18.58898061,26.0,115.1834,0.0
175,OUT010,Breads,17.85,0.0,24.19169692,26.0,196.5794,0.0
176,OUT045,Starchy Foods,12.3,0.254460262,31.79126295,22.0,92.6804,1.0
177,OUT010,Health and Hygiene,11.8,0.313548116,12.69344713,26.0,81.4618,0.0
178,OUT019,Soft Drinks,9.395,0.437051099,6.527725484,39.0,42.1112,1.0
179,OUT045,Baking Goods,11.1,0.420205944,54.87027975,22.0,157.4604,0.0
180,OUT027,Frozen Foods,14.0,0.245223247,77.61545207,39.0,153.0656,1.0
181,OUT045,Meat,11.3,0.085408735,31.44380702,22.0,198.1426,0.0
182,OUT019,Health and Hygiene,10.0,0.358438924,15.48186035,39.0,117.944,0.0
183,OUT013,Dairy,5.75,0.27405776,37.07035473,37.0,112.8176,1.0
184,OUT027,Baking Goods,6.215,0.222219275,68.84642474,39.0,226.8062,1.0
185,OUT018,Snack Foods,11.35,0.21252246,31.81219892,15.0,100.0016,1.0
186,OUT019,Fruits and Vegetables,11.1,0.30684483,25.64781472,39.0,165.7526,1.0
187,OUT049,Health and Hygiene,14.0,0.170023034,27.91032067,25.0,130.431,0.0
188,OUT045,Frozen Foods,19.75,0.134386089,48.34209346,22.0,179.766,1.0
189,OUT049,Household,6.525,0.300725945,47.25561554,25.0,85.0882,0.0
190,OUT049,Meat,10.3,0.382622153,40.76563258,25.0,103.9648,0.0
191,OUT049,Snack Foods,5.78,0.272514873,68.8899296,25.0,264.7568,1.0
192,OUT045,Fruits and Vegetables,11.85,0.224023941,55.89811625,22.0,164.1526,1.0
193,OUT018,Fruits and Vegetables,16.35,0.143637231,21.61924143,15.0,50.1324,0.0
194,OUT027,Household,17.6,0.124944308,71.20907807,39.0,182.5976,0.0
195,OUT046,Fruits and Vegetables,10.5,0.203458706,23.25144297,27.0,37.6164,0.0
196,OUT046,Frozen Foods,19.0,0.311950523,31.50726583,27.0,48.0718,1.0
197,OUT049,Others,14.6,0.244096284,77.51674013,25.0,238.8538,0.0
198,OUT027,Dairy,15.6,0.314107708,45.883108,39.0,62.9194,1.0
199,OUT027,Canned,4.615,0.318337323,73.2099037,39.0,232.63,1.0
200,OUT045,Health and Hygiene,18.75,0.228355985,27.30743489,22.0,104.628,0.0
201,OUT035,Baking Goods,5.26,0.204363615,57.23404581,20.0,161.8868,1.0
202,OUT045,Snack Foods,18.25,0.233118395,41.25269446,22.0,140.2154,0.0
203,OUT027,Baking Goods,10.3,0.279932999,81.88165851,39.0,177.937,0.0
204,OUT046,Meat,15.1,0.228777335,64.18699557,27.0,242.7512,0.0
205,OUT010,Baking Goods,15.5,0.206070284,18.09899445,26.0,81.5934,1.0
206,OUT049,Frozen Foods,13.65,0.256384249,27.94608023,25.0,45.7402,0.0
207,OUT045,Soft Drinks,16.1,0.153704632,60.25452182,22.0,189.3846,0.0
208,OUT019,Snack Foods,5.175,0.2272523,17.82095957,39.0,107.3622,1.0
209,OUT010,Frozen Foods,12.85,0.407055548,15.22164249,26.0,39.7164,0.0
210,OUT035,Soft Drinks,9.5,0.204642119,11.53949739,20.0,32.99,0.0
211,OUT035,Dairy,13.8,0.241021746,75.17076958,20.0,245.1802,0.0
212,OUT017,Snack Foods,5.78,0.0,51.34752185,17.0,263.7568,1.0
213,OUT045,Household,19.7,0.164023517,35.66992851,22.0,96.0726,0.0
214,OUT010,Household,14.65,0.0,18.02527115,26.0,161.5552,0.0
215,OUT010,Snack Foods,6.67,0.388013803,11.45262415,26.0,130.0626,1.0
216,OUT010,Fruits and Vegetables,6.11,0.0,16.15529635,26.0,131.2968,1.0
217,OUT010,Frozen Foods,13.65,0.367390294,16.15529635,26.0,260.0936,1.0
218,OUT013,Meat,17.2,0.395181971,60.74972757,37.0,160.6578,0.0
219,OUT035,Meat,6.32,0.0,33.75179699,20.0,40.2822,0.0
220,OUT049,Baking Goods,4.88,0.365651134,44.66992948,25.0,52.9298,1.0
221,OUT017,Baking Goods,5.425,0.339293243,37.64070137,17.0,88.3514,1.0
222,OUT046,Frozen Foods,15.85,0.331709205,16.2989018,27.0,37.2506,1.0
223,OUT017,Canned,7.5,0.225916013,59.60460385,17.0,121.7072,0.0
224,OUT013,Soft Drinks,12.65,0.250675025,49.05983082,37.0,161.5578,0.0
225,OUT019,Others,9.06,0.130831888,14.59643792,39.0,211.956,0.0
226,OUT013,Fruits and Vegetables,20.75,0.15533619,54.37050671,37.0,124.173,0.0
227,OUT019,Dairy,8.93,0.223058232,12.37473232,39.0,152.134,0.0
228,OUT035,Canned,9.0,0.0,40.61837515,20.0,79.7644,0.0
229,OUT027,Canned,16.7,0.318687257,55.68928443,39.0,181.9292,0.0
230,OUT027,Household,6.36,0.077133935,69.05885461,39.0,165.6526,0.0
231,OUT027,Seafood,5.365,0.373578854,58.61337731,39.0,170.4764,1.0
232,OUT045,Fruits and Vegetables,14.1,0.355015062,33.67279911,22.0,86.4198,0.0
233,OUT035,Canned,7.55,0.164817108,51.02232845,20.0,152.334,0.0
234,OUT046,Household,13.0,0.315159131,24.61458917,27.0,45.406,0.0
235,OUT027,Hard Drinks,9.3,0.208743048,47.88543829,39.0,192.8846,0.0
236,OUT019,Snack Foods,17.6,0.287648191,10.91687684,39.0,118.7782,1.0
237,OUT013,Starchy Foods,12.3,0.254096836,43.92594222,37.0,92.9804,1.0
238,OUT027,Snack Foods,7.05,0.290782683,45.54813717,39.0,109.8912,0.0
239,OUT027,Health and Hygiene,11.8,0.241768081,15.54623427,39.0,79.9618,0.0
240,OUT045,Household,17.25,0.33726649,82.43272894,22.0,251.3724,0.0
241,OUT017,Household,15.85,0.143539232,25.28177209,17.0,42.7112,0.0
242,OUT035,Health and Hygiene,18.85,0.22813368,56.99507172,20.0,192.1846,0.0
243,OUT017,Fruits and Vegetables,16.35,0.2505283,84.98587177,17.0,227.6062,1.0
244,OUT035,Dairy,14.1,0.296609612,56.79027382,20.0,229.0668,0.0
245,OUT035,Snack Foods,7.905,0.100052111,61.27896866,20.0,249.0408,0.0
246,OUT013,Canned,12.0,0.184244845,58.65879644,37.0,179.3976,0.0
247,OUT035,Fruits and Vegetables,12.15,0.241691287,31.22068545,20.0,163.4552,1.0
248,OUT049,Meat,10.1,0.164640393,23.1510043,25.0,75.367,0.0
249,OUT017,Frozen Foods,17.5,0.164386383,72.52461651,17.0,262.491,0.0
250,OUT019,Dairy,18.35,0.241150179,17.50051428,39.0,152.034,0.0
251,OUT018,Fruits and Vegetables,17.1,0.359078906,42.17840206,15.0,112.3886,0.0
252,OUT049,Fruits and Vegetables,7.785,0.298070975,27.55017241,25.0,61.451,0.0
253,OUT013,Snack Foods,11.8,0.305904871,43.33077428,37.0,125.9704,1.0
254,OUT045,Fruits and Vegetables,13.15,0.407056112,61.47422875,22.0,171.8764,1.0
255,OUT019,Frozen Foods,6.4,0.385217631,6.424920233,39.0,41.5796,0.0
256,OUT017,Canned,8.5,0.313748935,16.11403115,17.0,51.1324,0.0
257,OUT013,Health and Hygiene,8.645,0.378554211,13.89539492,37.0,96.341,0.0
258,OUT045,Meat,17.6,0.276181477,41.08287965,22.0,110.9202,1.0
259,OUT017,Baking Goods,9.1,0.418453623,68.23444438,17.0,127.5362,0.0
260,OUT013,Meat,12.8,0.153334181,70.36255254,37.0,225.9404,1.0
261,OUT035,Soft Drinks,7.63,0.247088567,37.65838552,20.0,95.4436,0.0
262,OUT017,Frozen Foods,9.285,0.222618602,35.00102856,17.0,246.4144,1.0
263,OUT045,Dairy,13.6,0.345569275,73.2099037,22.0,231.03,1.0
264,OUT045,Breakfast,8.895,0.269342906,42.00440453,22.0,176.237,0.0
265,OUT013,Household,16.35,0.300810286,50.53061448,37.0,195.211,0.0
266,OUT013,Frozen Foods,17.6,0.237160441,31.72837216,37.0,43.3454,0.0
267,OUT013,Baking Goods,7.975,0.120908945,32.89262835,37.0,85.225,0.0
268,OUT017,Starchy Foods,15.85,0.208516489,17.57643877,17.0,36.7164,0.0
269,OUT013,Frozen Foods,15.7,0.212523498,50.16696124,37.0,178.666,0.0
270,OUT046,Frozen Foods,8.985,0.240472662,37.79075284,27.0,128.831,1.0
271,OUT013,Dairy,20.35,0.298989575,45.75232453,37.0,260.1594,0.0
272,OUT013,Fruits and Vegetables,6.59,0.324822167,43.92594222,37.0,85.6908,0.0
273,OUT035,Dairy,19.85,0.072347446,76.3527655,20.0,264.0884,0.0
274,OUT046,Snack Foods,16.85,0.190762087,45.63575791,27.0,91.4488,0.0
275,OUT027,Meat,19.35,0.181461401,85.43125658,39.0,173.1738,0.0
276,OUT013,Fruits and Vegetables,16.75,0.285048301,86.33055774,37.0,256.4988,0.0
277,OUT017,Meat,17.6,0.276681056,21.21510782,17.0,110.5202,1.0
278,OUT010,Snack Foods,7.905,0.129454892,22.37591562,26.0,250.4408,0.0
279,OUT027,Snack Foods,17.85,0.210352502,60.56862224,39.0,126.202,0.0
280,OUT018,Fruits and Vegetables,7.785,0.195673419,27.13622671,15.0,103.1964,1.0
281,OUT035,Household,7.825,0.431315057,78.0261187,20.0,253.0698,0.0
282,OUT027,Household,9.0,0.178514604,46.10025596,39.0,101.0016,0.0
283,OUT017,Soft Drinks,20.75,0.146185502,47.71829838,17.0,153.0024,0.0
284,OUT019,Fruits and Vegetables,11.1,0.440196056,23.94271914,39.0,190.3846,0.0
285,OUT035,Meat,6.26,0.099327987,47.61353799,20.0,151.1366,1.0
286,OUT010,Fruits and Vegetables,18.2,0.287316971,17.23214438,26.0,147.3734,0.0
287,OUT018,Household,13.0,0.315800393,23.64893232,15.0,46.306,0.0
288,OUT035,Fruits and Vegetables,20.25,0.137118741,74.56158528,20.0,222.1772,1.0
289,OUT049,Household,8.695,0.346007877,35.18127627,25.0,95.5094,0.0
290,OUT045,Soft Drinks,7.27,0.266874665,23.85914919,22.0,113.5518,0.0
291,OUT027,Breakfast,10.695,0.245707065,62.18493708,39.0,174.0712,1.0
292,OUT045,Fruits and Vegetables,12.85,0.182448735,37.14212703,22.0,198.4768,0.0
293,OUT018,Dairy,7.075,0.2420426,43.23848286,15.0,142.7128,0.0
294,OUT027,Baking Goods,20.2,0.341749792,74.15866773,39.0,196.211,1.0
295,OUT049,Baking Goods,8.195,0.177347864,30.42140694,25.0,94.3462,0.0
296,OUT035,Baking Goods,7.09,0.084934975,24.15037888,20.0,47.9034,0.0
297,OUT046,Others,6.095,0.284950204,37.65838552,27.0,141.4154,0.0
298,OUT017,Fruits and Vegetables,19.35,0.223419704,30.70460552,17.0,80.2644,1.0
299,OUT046,Baking Goods,6.15,0.215106834,48.63045959,27.0,99.3384,0.0
300,OUT027,Canned,17.35,0.16576236,57.02426852,39.0,87.9856,1.0
301,OUT019,Fruits and Vegetables,20.2,0.323580804,15.94790268,39.0,125.2678,1.0
302,OUT035,Household,17.7,0.111982155,76.78319478,20.0,167.0474,0.0
303,OUT018,Breads,17.85,0.383436871,33.68268398,15.0,93.7436,0.0
304,OUT045,Soft Drinks,9.395,0.399571766,87.730542,22.0,224.972,0.0
305,OUT017,Hard Drinks,15.75,0.376030087,52.68510416,17.0,250.5382,0.0
306,OUT045,Fruits and Vegetables,7.475,0.385774297,72.91830223,22.0,241.2854,0.0
307,OUT018,Frozen Foods,7.075,0.0,29.57805267,15.0,98.0068,0.0
308,OUT046,Baking Goods,6.445,0.172312977,32.2487147,27.0,92.6436,0.0
309,OUT035,Fruits and Vegetables,19.1,0.310991194,55.11846696,20.0,235.0958,0.0
310,OUT035,Dairy,20.25,0.121616442,62.03486117,20.0,193.6162,1.0
311,OUT046,Canned,15.0,0.233191451,22.96330987,27.0,59.1904,1.0
312,OUT046,Snack Foods,6.67,0.351324058,48.89670541,27.0,89.1514,1.0
313,OUT027,Canned,13.0,0.173041796,40.96115233,39.0,60.222,1.0
314,OUT013,Frozen Foods,16.7,0.228840689,28.3129511,37.0,112.7176,1.0
315,OUT045,Snack Foods,7.07,0.306367661,35.59518788,22.0,115.5834,0.0
316,OUT045,Snack Foods,6.48,0.184305852,29.77995299,22.0,148.0076,0.0
317,OUT010,Fruits and Vegetables,19.0,0.416117867,21.27778184,26.0,228.272,1.0
318,OUT045,Frozen Foods,13.35,0.373811752,62.27053236,22.0,147.5392,0.0
319,OUT027,Fruits and Vegetables,5.98,0.208211181,66.4398525,39.0,146.6418,0.0
320,OUT027,Hard Drinks,9.3,0.205150316,73.81671355,39.0,122.4388,0.0
321,OUT049,Baking Goods,9.695,0.358444821,70.36255254,25.0,223.9404,1.0
322,OUT017,Soft Drinks,15.0,0.222164527,30.96372071,17.0,62.6168,0.0
323,OUT017,Dairy,11.15,0.091250945,44.22804992,17.0,149.9708,1.0
324,OUT049,Fruits and Vegetables,20.85,0.146160716,49.03268094,25.0,103.2306,0.0
325,OUT010,Others,9.8,0.389128429,19.68490792,26.0,194.3478,0.0
